frequency_auc,k_on,master_seed,matched_pair_misordering,mean_active_increment,mean_coalition_score,mean_inactive_increment,mean_normal_score,mean_score_gap,mean_signed_increment,realized_R_exp,realized_p_on,requested_R_exp,requested_p_on,score_auc
0.57488,200,27002,0.0,0.06201551572090256,10.058916649930397,0.0005560596174033117,4.074836665854177,5.984079984076221,0.02547786906737226,1.0134168392141083,0.4055,1.0,0.4,1.0
0.5982689999999999,160,27002,0.0,0.045858293821329985,7.473067561123934,0.0007261959284912212,3.7931467589311767,3.6799208021927576,0.023709716780419356,1.018165278164803,0.50925,1.0,0.5,1.0
0.580819575,133,27002,0.0,0.03545660849498697,5.757905023326417,0.0007453250821389347,3.5114228146848303,2.246482208641587,0.021936563605682656,1.0146226927897453,0.6105,1.0,0.6,0.999964025
0.5913446250000001,114,27002,0.0025,0.027995455712568753,4.555840485384876,0.0007070161098930092,3.231223604611677,1.324616880773199,0.020184139876302822,1.0167594903175579,0.71375,1.0,0.7,0.99622325
0.5464825,100,27002,0.084,0.023077854010064784,3.7224578518234495,0.0005999212368491152,2.996526386222198,0.7259314656012514,0.018728374018447555,1.0077936878251275,0.8065,1.0,0.8,0.9192975
0.5638475375,89,27002,0.266,0.01899994613423792,3.075074782014937,0.0008382203954584709,2.774594042119644,0.3004807398952929,0.017351769523443687,1.0112081903074364,0.90925,1.0,0.9,0.7350497500000001
0.5044,80,27002,0.488,0.015745160522815067,2.51922568365041,nan,2.517451714038244,0.0017739696121661375,0.015745160522815067,0.9996713580410439,1.0,1.0,1.0,0.504532
0.9996625,1000,27002,0.0,0.24837561788520762,50.29606262175454,0.00032596058931490815,4.0594129558616885,46.23664966589285,0.025440988390524045,1.2652090625206962,0.10125,1.25,0.1,1.0
0.99905625,500,27002,0.0,0.15694463830074656,31.428163819724496,0.0005513651882351289,5.092808266695728,26.33535555302877,0.03186911812901554,1.251151184048244,0.20025,1.25,0.2,1.0
0.999814725,333,27002,0.0,0.10986056647341715,22.55377006387694,0.0006196144064748375,5.483932547962611,17.06983751591433,0.0342931378811098,1.2826689475834818,0.30825,1.25,0.3,1.0
0.9996812500000001,250,27002,0.0,0.08101068128593762,16.424915630723845,0.0005560596174033117,5.306594589681417,11.118321041042428,0.03318040870399397,1.2667710490176354,0.4055,1.25,0.4,1.0
0.9997175,200,27002,0.0,0.06187202650152024,12.60333179835967,0.0007261959284912212,5.098969970759059,7.504361827600611,0.03186471014780625,1.272706597706004,0.50925,1.25,0.5,1.0
0.999722675,167,27002,0.0,0.0493039774145973,10.05342612267829,0.0007453250821389347,4.86342925483891,5.189996867839381,0.03039038233110477,1.2739999225254697,0.6105,1.25,0.6,1.0
0.9997349375000001,143,27002,0.0,0.03943155930364873,8.049262779552073,0.0007070161098930092,4.537063158598548,3.512199620953525,0.028346658814436154,1.2754088343457086,0.71375,1.25,0.7,1.0
0.9995031249999999,125,27002,0.0,0.03276966788330042,6.607184286970448,0.0005999212368491152,4.248016615400359,2.3591676715700887,0.026544821907212097,1.2597421097814092,0.8065,1.25,0.8,0.9997031249999999
0.9995773875,111,27002,0.0055,0.027101398715030856,5.470512185524481,0.0008382203954584709,3.9536555426358397,1.5168566428886416,0.024718015282529662,1.2611697654396115,0.90925,1.25,0.9,0.99401165
0.9989750000000002,100,27002,0.034,0.022934772973808016,4.586954594761603,nan,3.66881900918978,0.918135585571823,0.022934772973808016,1.249589197551305,1.0,1.25,1.0,0.9652525
1.0,1200,27002,0.0,0.27044412243895344,65.7179217526657,0.00032596058931490815,4.416795563967341,61.30112618869836,0.02767542447659081,1.5182508750248356,0.10125,1.5,0.1,1.0
1.0,600,27002,0.0,0.1806044736551867,43.39925501934136,0.0005513651882351289,5.851498466725942,37.54775655261542,0.03660700015874218,1.5013814208578928,0.20025,1.5,0.2,1.0
1.0,400,27002,0.0,0.13007385197897064,32.07621189801416,0.0006196144064748375,6.479382759225562,25.596829138788596,0.040523883138196666,1.540743480580759,0.30825,1.5,0.3,1.0
1.0,300,27002,0.0,0.09835516786219907,23.929812340873035,0.0005560596174033117,6.429826475146477,17.499985865726558,0.04021359801066799,1.5201252588211625,0.4055,1.5,0.4,1.0
1.0,240,27002,0.0,0.07785293001749752,19.030370213477095,0.0007261959284912212,6.39774956849768,12.632620644979415,0.040002985263317685,1.5272479172472047,0.50925,1.5,0.5,1.0
